front,back
如何进行二叉树的层次遍历？,使用队列从上到下、从左到右依次访问每一个结点，将左右孩子依次入队
如何释放二叉树的内存？,递归释放每个结点的左子树和右子树，最后删除根结点
如何计算二叉树的结点总数？,结点总数等于左子树结点数加右子树结点数再加1
什么是完全二叉树？,按从上到下、从左到右的顺序为结点编号，与满二叉树序号一一对应的二叉树。
二叉树第i层上最多有多少个结点？,2^(i-1)个结点 (i≥1)。
深度为k的二叉树最多有多少个结点？,2^k - 1 个结点 (k≥0)。
二叉树的叶结点数和度为2的结点数关系？,叶结点数 n0 = 度为2的结点数 n2 + 1。
具有n个结点的完全二叉树深度是多少？,floor(log2(n)) + 1。
完全二叉树中编号为i的结点，其双亲结点编号是多少？,[i/2]
完全二叉树中编号为i的结点，其左孩子结点编号是多少？,2i
完全二叉树中编号为i的结点，其右孩子结点编号是多少？,2i + 1
森林的定义是什么？,m(m>=0)棵互不相交的树的集合构成森林。
什么是树的遍历？,从根结点出发，按照某种次序依次访问树的所有结点，使每个结点仅被访问一次。
树的前序遍历顺序是什么？,1. 访问根结点 2. 按从左到右的顺序依次遍历根结点的每一棵子树。
树的后序遍历顺序是什么？,1. 按从左到右的顺序依次遍历根结点的每一棵子树 2. 访问根结点。
树的层序遍历顺序是什么？,从第一层开始，从上到下逐层遍历，同层按从左到右的顺序遍历。
树的定义是什么？,树是由 n (n ≥ 0) 个结点组成的有限集，其中 n = 0 时称为空树；n > 0 时，有且仅有一个根结点，其余结点可分为 m 个互不相交的有限集，每个集合又是一棵树，称为根的子树。
什么是结点的度？,结点拥有的子树的个数。
什么是树的度？,树内各结点的度的最大值。
什么是叶结点？,度为0的结点。
什么是分支结点？,度不为0的结点。
什么是结点的孩子？,结点的子树的根称为该结点的孩子。
什么是结点的双亲？,孩子的直接上级结点。
什么是兄弟结点？,同一双亲的孩子之间互称兄弟。
什么是结点的祖先？,从根到该结点所经分支上的所有结点。
什么是结点的子孙？,以某结点为根的子树中任一结点。
树在编译系统中的应用是什么？,表示源程序的语法结构。
树在数据库系统中的应用是什么？,组织信息，高效查找或检索。
树在计算机系统中的应用有哪些？,XML、DOM树、JSON数据、磁盘路径结构等。
树在压缩中的应用是什么？,Huffman编码。
什么是路径？,从根结点到其他结点的一条路经。
什么是路径长度？,路径经过的边的个数。
什么是结点层次？,从根开始，根为第一层，根的孩子为第二层，以此类推。
什么是树的深度？,树中结点的最大层次。
什么是有序树？,如果树中各结点的子树从左至右是有次序的（不能互换），则称为有序树。
什么是无序树？,树中各结点的子树没有次序。
什么是同构？,两棵树同构就是这两棵树的形状相同。
二叉树的定义是什么？,n (n >= 0) 个结点的有限集合，该集合或者为空集，或者由一个根结点和两棵互不相交的左右子树组成。
二叉树的特点是什么？,每个结点最多只有两个子树，且左右子树次序不能颠倒。
树和二叉树的区别是什么？,同一棵树可以有不同的二叉树形态。
二叉树有哪五种形态？,左斜树、右斜树、满二叉树、完全二叉树、普通二叉树。
什么是左斜树？,所有结点都只有左子树的二叉树。
什么是右斜树？,所有结点都只有右子树的二叉树。
什么是满二叉树？,所有的分支结点都存在左子树和右子树，且所有叶子都在同一层上。
递归终止的条件是什么？,栈空。
递归函数的定义是什么？,递归函数是直接或间接调用自己的函数。
递归函数的主要两部分是什么？,不断变化的参数和递归终止条件。
阶乘的定义式用递归描述是什么？,f(n) = n!，已知f(0) = 1，当n > 0时，f(n) = n * f(n-1)。
队列操作的第一种方法的问题是什么？,导致元素大量移动。
队列操作的第二种方法的问题是什么？,入队和出队在表的不同位置，导致“假溢出”。
循环队列中队头和队尾如何表示？,front表示队头的前一个位置，rear表示队尾。
循环队列中如何判断队空？,f = r
循环队列中如何判断队满？,f = (r+1) % MAXSIZE
循环队列入队操作是什么？,r = (r+1) % QueueSize
循环队列出队操作是什么？,f = (f+1) % QueueSize
循环队列的入队操作步骤是什么？,r = (r+1) % QueueSize
循环队列的出队操作步骤是什么？,f = (f+1) % QueueSize
顺序栈入栈的注意事项是什么？,"在入栈前检查栈满情况,将元素x同时压入栈1和栈2的栈顶。"
链栈的定义是什么？,链栈是栈的链式结构，栈顶设在单链表的头部。
链栈出栈时的注意事项是什么？,在出栈前检查栈顶指针是否为空
设计一个顺序存储结构的栈的要求是什么？,能够存储任意类型的数据，满足后进先出（LIFO）的规律。
设计一个链式存储结构的栈的要求是什么？,存储结构无多余的空间，入栈/出栈操作简单（时间）。
函数调用的基本步骤有哪些？,保存现场，调用函数，执行函数，返回并恢复现场。
顺序栈的本质是什么？,顺序表的简化，数组的一端表示栈顶，另一端表示栈底。
顺序栈中栈顶和栈底通常如何表示？,栈底为下标为0的一端，栈顶用top指针表示，空栈时top=-1。
顺序栈的入栈操作是什么？,Data[++top] = x
顺序栈的出栈操作是什么？,x = Data[top--]
顺序栈上溢和下溢是什么？,上溢：栈满时入栈，下溢：栈空时出栈
共享栈的定义是什么？,多个栈共享同一数组空间
共享栈中栈1和栈2的栈顶如何表示？,top1表示栈1的栈顶，top2表示栈2的栈顶
什么是模式匹配？,在主串S中寻找子串T的过程称为模式匹配。
在模式匹配中，T称为什么？,模式串
匹配成功时返回什么？,返回T在S中的位置
匹配失败时返回什么？,返回0
朴素的模式匹配算法的时间复杂度是多少？,O(n*m)
朴素的模式匹配算法的主要步骤有哪些？,继续比较后继字符、指针后退重新开始匹配、输出匹配结果
朴素的模式匹配算法中，当S[i] == T[j]时，i和j的操作是什么？,i++；j++
朴素的模式匹配算法中，当S[i] != T[j]时，i和j的操作是什么？,i = i - j + 1；j = 0
KMP算法的主要特点是什么？,不回溯算法，在O(n)条件下解决模式匹配问题
多维数组在图像处理中有什么应用？,亮度递增效果、对比度递增效果、灰度图和彩色图、4邻域平滑、8邻域平滑
多维数组的特点有哪些？,具有固定格式和数量、通常只有存取和修改两种操作
多维数组采用什么存储结构？,顺序存储结构
多维数组的本质操作是什么？,寻址
多维数组通常有哪两种映射方式？,行优先存储和列优先存储
C++采用哪种存储映象方式？,按行优先
FORTRAN采用哪种存储映象方式？,按列优先
二维数组按行优先的存储地址公式是什么？,Loc(aij)= Loc(a00)+ [i*n+ j]*d
二维数组按列优先的存储地址公式是什么？,Loc(aij)= Loc(a00)+ [j*m+i]*d
三维数组按行优先的存储地址公式是什么？,Loc(aijk) = Loc(a000) +[i *n*p + j*p + k]*d
三维数组按列优先的存储地址公式是什么？,Loc(aijk) = Loc(a000) +[k*m*n + j*m + i ]*d
稀疏矩阵的定义是什么？,非零元素的个数<<矩阵中元素的总数
稀疏矩阵的压缩策略是什么？,仅存储非零元素，不存储零元素
稀疏矩阵三元组包含哪些信息？,行号、列号、值
C++中稀疏矩阵的三元组如何描述？,使用`struct element`包含`int row; int col; T item;`
转置矩阵的定义是什么？,"对于一个m*n的矩阵M，转置矩阵T为n*m，且T(i,j)=M(j，i)"
转置操作的主要步骤有哪些？,找出列号为0的三元组，行列对调；找出列号为1的三元组，行列对调；依次类推直到最后一列
朴素转置算法的时间复杂度是多少？,O(n*t)
在稀疏矩阵转置中，number[]数组存储什么信息？,每一列的元素个数
在稀疏矩阵转置中，position[]数组存储什么信息？,每一列第一个非零元素的位置
稀疏矩阵转置的改进算法中，如何初始化position[]数组？,position[0] = 0; position[i] = position[i-1]+number[i-1]
如何在C++中初始化稀疏矩阵B的行列信息？,B.m = A.n; B.n = A.m; B.t = A.t;
在稀疏矩阵转置的改进算法中，如何计算每列第一个非零元素的位置？,遍历number[]数组累加前一列的元素个数
十字链表表示稀疏矩阵时，row、col、item分别代表什么？,row代表行号，col代表列号，item代表值
十字链表中的down指针指向什么？,指向同列下一个非零元素
十字链表中的right指针指向什么？,指向同行下一个非零元素
在稀疏矩阵的转置改进算法中，如何交换A中的行列存储到B中？,通过遍历A，将每个元素交换行、列后存储到B中，并更新position数组
稀疏矩阵的转置改进算法的时间复杂度是多少？,O(t)
什么是串？,串是零个或多个字符组成的有限序列。
什么是子串？,子串是串中任意连续的字符组成的子序列。
子串在主串中的序号如何表示？,子串在主串中的序号是子串第一个字符在主串中的位置。
串的常见操作有哪些？,求串长(StrLength)，复制(StrAssign)，连接(StrConcat)，求子串(StrSub)，比较(StrCmp)，求子串位置(StrIndex)
串的存储结构有哪些？,顺序结构和链式结构。
串的顺序存储结构有哪些形式？,压缩形式和非压缩形式。
什么是存储密度？,数据元素所占存储位与实际分配的存储位的比值。
如何求串长？,使用StrLength函数。
如何复制串？,使用StrAssign函数。
如何比较串？,使用StrCmp函数。
如何求子串在主串的位置？,使用StrIndex函数。
循环队列的入队实现步骤是什么？,判断队列是否上溢（f == (r+1) % QueueSize），然后将r更新为(r+1) % QueueSize，并将数据x存入data[r]。
循环队列的出队实现步骤是什么？,判断队列是否下溢（r == f），然后将f更新为(f+1) % QueueSize，并返回data[f]。
如何求循环队列的长度？,使用公式(r - f + QueueSize) % QueueSize计算。
链队列的队头和队尾如何表示？,头结点用来出队删除，尾指针用来入队插入。
链队列的入队实现步骤是什么？,创建新节点s，s->data = x，s->next = NULL，rear->next = s，rear = s。
链队列的出队实现步骤是什么？,Node<T> *p = front->next，front->next = p->next，delete p。
链队列出队的特殊情况是什么？,如果front->next == NULL，则将rear指向front。
链队列的析构函数如何实现？,使用while循环删除每个节点，直到front为NULL。
